X,Y
13830,52.79
13860,52.79
13890,52.79
13920,52.79
13950,52.79
13980,53.27
14010,53.27
14040,53.27
14070,53.27
14100,53.27
14130,53.27
14160,53.27
14190,53.76
14220,53.76
14250,53.76
14280,53.76
14310,53.76
14340,53.76
14370,53.76
14400,53.76
14430,53.76
14460,53.76
14490,53.76
14520,54.25
14550,54.25
14580,54.25
14610,53.76
14640,54.25
14670,54.74
14700,54.74
14730,54.25
14760,54.74
14790,54.74
14820,54.74
14850,54.74
14880,54.25
14910,54.25
14940,55.23
14970,55.23
15000,55.23
15030,54.74
15060,54.74
15090,55.23
15120,55.23
15150,55.23
15180,55.23
15210,55.23
15240,55.72
15270,55.72
15300,55.72
15330,55.72
15360,55.23
15390,55.72
15420,55.72
15450,55.72
15480,55.72
15510,55.72
15540,55.72
15570,56.70
15600,56.21
15630,55.72
15660,56.70
15690,55.72
15720,55.72
15750,56.21
15780,56.70
15810,56.21
15840,56.70
15870,56.21
15900,56.21
15930,56.70
15960,56.21
15990,56.70
16020,56.70
16050,56.70
16080,56.70
16110,56.70
16140,56.70
16170,56.21
16200,57.18
16230,56.70
16260,57.67
16290,57.18
16320,57.18
16350,57.18
16380,57.18
16410,57.67
16440,58.16
16470,57.67
16500,58.16
16530,58.16
16560,57.67
16590,58.65
16620,58.16
16650,58.16
16680,58.65
16710,57.67
16740,56.70
16770,57.67
16800,57.18
16830,57.18
16860,56.21
16890,55.72
16920,56.21
16950,55.72
16980,55.23
17010,55.23
17040,54.74
17070,57.18
17100,54.25
17130,54.25
17160,52.79
17190,53.76
17220,53.27
17250,53.27
17280,51.81
17310,52.30
17340,53.27
17370,51.81
17400,51.81
17430,52.79
17460,51.81
17490,52.79
17520,52.30
17550,51.32
17580,52.30
17610,52.79
17640,51.81
17670,51.32
17700,51.81
17730,51.81
17760,51.32
17790,51.32
17820,51.32
17850,52.30
17880,51.32
17910,51.81
17940,51.32
17970,51.32
18000,51.32
18030,51.32
18060,51.32
18090,51.32
18120,51.32
18150,51.32
18180,51.32
18210,51.32
18240,51.81
18270,50.83
18300,51.32
18330,52.30
18360,50.83
18390,51.32
18420,50.83
18450,50.83
18480,50.83
18510,51.32
18540,51.32
18570,50.83
18600,50.83
18630,51.32
18660,50.34
18690,51.32
18720,51.32
18750,50.34
18780,50.83
18810,50.83
18840,50.83
18870,51.81
18900,50.83
18930,50.34
18960,50.83
18990,51.32
19020,50.83
19050,50.83
19080,50.34
19110,51.32
19140,50.34
19170,50.34
19200,50.34
19230,50.83
19260,48.88
19290,50.83
19320,50.34
19350,49.85
19380,50.83
19410,49.85
19440,50.34
19470,50.34
19500,49.85
19530,50.34
19560,49.36
19590,48.88
19620,50.83
19650,52.79
19680,49.85
19710,49.85
19740,49.85
19770,48.88
19800,48.88
19830,49.85
19860,48.88
19890,48.39
19920,48.88
19950,49.85
19980,49.36
20010,49.85
20040,49.36
20070,49.36
20100,47.90
20130,49.85
20160,48.88
20190,49.36
20220,48.88
20250,49.36
20280,49.36
20310,49.36
20340,48.39
20370,49.36
20400,48.39
20430,48.39
20460,48.39
20490,47.90
20520,48.39
20550,48.39
20580,48.39
20610,48.39
20640,48.88
20670,48.39
20700,48.39
20730,47.90
20760,47.90
20790,47.90
20820,47.90
20850,48.39
20880,47.90
20910,47.90
20940,47.90
20970,47.41
21000,46.43
21030,47.41
21060,47.41
21090,47.41
21120,47.90
21150,47.41
21180,47.90
21210,47.41
21240,47.90
21270,47.41
21300,47.41
21330,47.41
21360,46.43
21390,46.43
21420,47.41
21450,46.92
21480,46.92
21510,46.92
21540,47.41
21570,46.92
21600,46.92
21630,46.92
21660,46.43
21690,47.41
21720,46.92
21750,46.92
21780,46.92
21810,46.43
21840,46.92
21870,46.43
